#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Pseudomonas aeruginosa,Pae_CF67.06h,19537,SAMN03566333 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034675.1 ,6.38946,66.4,-,LEFF01,143,6128,5827,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/675/GCF_001034675.1_ASM103467v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/675/GCA_001034675.1_ASM103467v1
Pseudomonas aeruginosa,Pae_CF67.06j,19537,SAMN03566335 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034685.1 ,6.38736,66.4,-,LEFH01,180,6167,5711,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/685/GCF_001034685.1_ASM103468v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/685/GCA_001034685.1_ASM103468v1
Pseudomonas aeruginosa,Pae_CF67.07b,19537,SAMN03566346 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034745.1 ,6.40078,66.4,-,LEFS01,175,6119,5909,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/745/GCF_001034745.1_ASM103474v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/745/GCA_001034745.1_ASM103474v1
Pseudomonas aeruginosa,Pae_CF67.07d,19537,SAMN03566348 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034755.1 ,6.40208,66.4,-,LEFU01,147,6119,5924,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/755/GCF_001034755.1_ASM103475v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/755/GCA_001034755.1_ASM103475v1
Pseudomonas aeruginosa,Pae_CF67.07e,19537,SAMN03566349 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034765.1 ,6.40339,66.4,-,LEFV01,169,6121,5921,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/765/GCF_001034765.1_ASM103476v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/765/GCA_001034765.1_ASM103476v1
Pseudomonas aeruginosa,Pae_CF67.07f,19537,SAMN03566350 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034785.1 ,6.40085,66.4,-,LEFW01,154,6110,5918,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/785/GCF_001034785.1_ASM103478v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/785/GCA_001034785.1_ASM103478v1
Pseudomonas aeruginosa,Pae_CF67.07i,19537,SAMN03566353 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034825.1 ,6.40782,66.4,-,LEFZ01,125,6120,5939,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/825/GCF_001034825.1_ASM103482v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/825/GCA_001034825.1_ASM103482v1
Pseudomonas aeruginosa,Pae_CF67.07m,19537,SAMN03566357 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034835.1 ,6.40402,66.4,-,LEGD01,197,6130,5891,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/835/GCF_001034835.1_ASM103483v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/835/GCA_001034835.1_ASM103483v1
Pseudomonas aeruginosa,Pae_CF67.07n,19537,SAMN03566358 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034855.1 ,6.40798,66.4,-,LEGE01,93,6121,5939,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/855/GCF_001034855.1_ASM103485v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/855/GCA_001034855.1_ASM103485v1
Pseudomonas aeruginosa,Pae_CF67.07p,19537,SAMN03566360 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034875.1 ,6.40453,66.4,-,LEGG01,149,6121,5913,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/875/GCF_001034875.1_ASM103487v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/875/GCA_001034875.1_ASM103487v1
Pseudomonas aeruginosa,Pae_CF67.07r,19537,SAMN03566362 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034905.1 ,6.40345,66.4,-,LEGI01,152,6110,5905,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/905/GCF_001034905.1_ASM103490v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/905/GCA_001034905.1_ASM103490v1
Pseudomonas aeruginosa,Pae_CF67.08c,19537,SAMN03566367 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034915.1 ,6.39519,66.4,-,LEGN01,107,6111,5878,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/915/GCF_001034915.1_ASM103491v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/915/GCA_001034915.1_ASM103491v1
Pseudomonas aeruginosa,Pae_CF67.08d,19537,SAMN03566368 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034945.1 ,6.3844,66.4,-,LEGO01,185,6157,5678,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/945/GCF_001034945.1_ASM103494v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/945/GCA_001034945.1_ASM103494v1
Pseudomonas aeruginosa,Pae_CF67.08e,19537,SAMN03566369 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034955.1 ,6.4038,66.4,-,LEGP01,94,6115,5924,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/955/GCF_001034955.1_ASM103495v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/955/GCA_001034955.1_ASM103495v1
Pseudomonas aeruginosa,Pae_CF67.08f,19537,SAMN03566370 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001034985.1 ,6.38643,66.4,-,LEGQ01,161,6142,5723,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/034/985/GCF_001034985.1_ASM103498v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/034/985/GCA_001034985.1_ASM103498v1
Pseudomonas aeruginosa,Pae_CF67.08g,19537,SAMN03566371 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035005.1 ,6.40121,66.4,-,LEGR01,90,6106,5911,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/005/GCF_001035005.1_ASM103500v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/005/GCA_001035005.1_ASM103500v1
Pseudomonas aeruginosa,Pae_CF67.08h,19537,SAMN03566372 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035025.1 ,6.39659,66.4,-,LEGS01,131,6136,5818,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/025/GCF_001035025.1_ASM103502v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/025/GCA_001035025.1_ASM103502v1
Pseudomonas aeruginosa,Pae_CF67.08i,19537,SAMN03566373 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035035.1 ,6.39997,66.4,-,LEGT01,110,6110,5890,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/035/GCF_001035035.1_ASM103503v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/035/GCA_001035035.1_ASM103503v1
Pseudomonas aeruginosa,Pae_CF67.08j,19537,SAMN03566374 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035065.1 ,6.3928,66.4,-,LEGU01,126,6108,5860,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/065/GCF_001035065.1_ASM103506v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/065/GCA_001035065.1_ASM103506v1
Pseudomonas aeruginosa,Pae_CF67.08k,19537,SAMN03566375 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035075.1 ,6.40006,66.4,-,LEGV01,86,6121,5912,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/075/GCF_001035075.1_ASM103507v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/075/GCA_001035075.1_ASM103507v1
Pseudomonas aeruginosa,Pae_CF67.08l,19537,SAMN03566376 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035105.1 ,6.40367,66.4,-,LEGW01,85,6113,5927,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/105/GCF_001035105.1_ASM103510v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/105/GCA_001035105.1_ASM103510v1
Pseudomonas aeruginosa,Pae_CF67.08m,19537,SAMN03566377 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035115.1 ,6.39937,66.4,-,LEGX01,111,6123,5887,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/115/GCF_001035115.1_ASM103511v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/115/GCA_001035115.1_ASM103511v1
Pseudomonas aeruginosa,Pae_CF67.08n,19537,SAMN03566378 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035145.1 ,6.39875,66.4,-,LEGY01,105,6121,5897,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/145/GCF_001035145.1_ASM103514v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/145/GCA_001035145.1_ASM103514v1
Pseudomonas aeruginosa,Pae_CF67.08o,19537,SAMN03566379 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035155.1 ,6.38963,66.4,-,LEGZ01,135,6119,5843,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/155/GCF_001035155.1_ASM103515v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/155/GCA_001035155.1_ASM103515v1
Pseudomonas aeruginosa,Pae_CF67.08p,19537,SAMN03566380 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035175.1 ,6.38379,66.4,-,LEHA01,191,6142,5753,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/175/GCF_001035175.1_ASM103517v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/175/GCA_001035175.1_ASM103517v1
Pseudomonas aeruginosa,Pae_CF67.08q,19537,SAMN03566381 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035205.1 ,6.38652,66.4,-,LEHB01,202,6139,5815,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/205/GCF_001035205.1_ASM103520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/205/GCA_001035205.1_ASM103520v1
Pseudomonas aeruginosa,Pae_CF67.08r,19537,SAMN03566382 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035225.1 ,6.39801,66.4,-,LEHC01,106,6115,5905,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/225/GCF_001035225.1_ASM103522v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/225/GCA_001035225.1_ASM103522v1
Pseudomonas aeruginosa,Pae_CF67.08s,19537,SAMN03566383 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035235.1 ,6.39266,66.4,-,LEHD01,135,6125,5846,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/235/GCF_001035235.1_ASM103523v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/235/GCA_001035235.1_ASM103523v1
Pseudomonas aeruginosa,Pae_CF67.08t,19537,SAMN03566384 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035245.1 ,6.38587,66.4,-,LEHE01,169,6115,5823,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/245/GCF_001035245.1_ASM103524v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/245/GCA_001035245.1_ASM103524v1
Pseudomonas aeruginosa,Pae_CF67.09a,19537,SAMN03566385 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035285.1 ,6.40386,66.4,-,LEHF01,210,6125,5912,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/285/GCF_001035285.1_ASM103528v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/285/GCA_001035285.1_ASM103528v1
Pseudomonas aeruginosa,Pae_CF67.09b,19537,SAMN03566386 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035305.1 ,6.4037,66.4,-,LEHG01,136,6116,5930,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/305/GCF_001035305.1_ASM103530v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/305/GCA_001035305.1_ASM103530v1
Pseudomonas aeruginosa,Pae_CF67.09d,19537,SAMN03566388 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035315.1 ,6.39281,66.4,-,LEHI01,216,6117,5891,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/315/GCF_001035315.1_ASM103531v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/315/GCA_001035315.1_ASM103531v1
Pseudomonas aeruginosa,Pae_CF67.09c,19537,SAMN03566387 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035325.1 ,6.40486,66.4,-,LEHH01,139,6121,5931,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/325/GCF_001035325.1_ASM103532v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/325/GCA_001035325.1_ASM103532v1
Pseudomonas aeruginosa,Pae_CF67.09e,19537,SAMN03566389 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035365.1 ,6.4057,66.4,-,LEHJ01,128,6111,5934,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/365/GCF_001035365.1_ASM103536v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/365/GCA_001035365.1_ASM103536v1
Pseudomonas aeruginosa,Pae_CF67.09f,19537,SAMN03566390 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035385.1 ,6.40592,66.4,-,LEHK01,129,6116,5926,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/385/GCF_001035385.1_ASM103538v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/385/GCA_001035385.1_ASM103538v1
Pseudomonas aeruginosa,Pae_CF67.09g,19537,SAMN03566391 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035395.1 ,6.40285,66.4,-,LEHL01,156,6109,5928,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/395/GCF_001035395.1_ASM103539v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/395/GCA_001035395.1_ASM103539v1
Pseudomonas aeruginosa,Pae_CF67.09h,19537,SAMN03566392 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035415.1 ,6.40689,66.4,-,LEHM01,124,6112,5937,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/415/GCF_001035415.1_ASM103541v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/415/GCA_001035415.1_ASM103541v1
Pseudomonas aeruginosa,Pae_CF67.09i,19537,SAMN03566393 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035445.1 ,6.40504,66.4,-,LEHN01,114,6115,5930,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/445/GCF_001035445.1_ASM103544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/445/GCA_001035445.1_ASM103544v1
Pseudomonas aeruginosa,Pae_CF67.09j,19537,SAMN03566394 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035465.1 ,6.40274,66.4,-,LEHO01,93,6127,5940,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/465/GCF_001035465.1_ASM103546v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/465/GCA_001035465.1_ASM103546v1
Pseudomonas aeruginosa,Pae_CF67.09k,19537,SAMN03566395 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035485.1 ,6.40515,66.4,-,LEHP01,141,6114,5926,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/485/GCF_001035485.1_ASM103548v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/485/GCA_001035485.1_ASM103548v1
Pseudomonas aeruginosa,Pae_CF67.09l,19537,SAMN03566396 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035495.1 ,6.39389,66.4,-,LEHQ01,132,6132,5876,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/495/GCF_001035495.1_ASM103549v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/495/GCA_001035495.1_ASM103549v1
Pseudomonas aeruginosa,Pae_CF67.09m,19537,SAMN03566397 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035525.1 ,6.40367,66.4,-,LEHR01,166,6119,5911,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/525/GCF_001035525.1_ASM103552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/525/GCA_001035525.1_ASM103552v1
Pseudomonas aeruginosa,Pae_CF67.09n,19537,SAMN03566398 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035535.1 ,6.40353,66.4,-,LEHS01,126,6125,5926,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/535/GCF_001035535.1_ASM103553v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/535/GCA_001035535.1_ASM103553v1
Pseudomonas aeruginosa,Pae_CF67.09o,19537,SAMN03566399 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035565.1 ,6.40433,66.4,-,LEHT01,141,6116,5929,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/565/GCF_001035565.1_ASM103556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/565/GCA_001035565.1_ASM103556v1
Pseudomonas aeruginosa,Pae_CF67.09p,19537,SAMN03566400 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035575.1 ,6.40491,66.4,-,LEHU01,136,6118,5936,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/575/GCF_001035575.1_ASM103557v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/575/GCA_001035575.1_ASM103557v1
Pseudomonas aeruginosa,Pae_CF67.09q,19537,SAMN03566401 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035605.1 ,6.40468,66.4,-,LEHV01,80,6115,5942,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/605/GCF_001035605.1_ASM103560v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/605/GCA_001035605.1_ASM103560v1
Pseudomonas aeruginosa,Pae_CF67.09r,19537,SAMN03566402 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035625.1 ,6.40045,66.4,-,LEHW01,238,6133,5880,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/625/GCF_001035625.1_ASM103562v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/625/GCA_001035625.1_ASM103562v1
Pseudomonas aeruginosa,Pae_CF67.09s,19537,SAMN03566403 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035635.1 ,6.39992,66.4,-,LEHX01,156,6124,5912,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/635/GCF_001035635.1_ASM103563v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/635/GCA_001035635.1_ASM103563v1
Pseudomonas aeruginosa,Pae_CF67.09t,19537,SAMN03566404 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035645.1 ,6.40515,66.4,-,LEHY01,108,6122,5927,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/645/GCF_001035645.1_ASM103564v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/645/GCA_001035645.1_ASM103564v1
Pseudomonas aeruginosa,Pae_CF67.10a,19537,SAMN03566405 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035685.1 ,6.41145,66.4,-,LEHZ01,128,6124,5912,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/685/GCF_001035685.1_ASM103568v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/685/GCA_001035685.1_ASM103568v1
Pseudomonas aeruginosa,Pae_CF67.10b,19537,SAMN03566406 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035705.1 ,6.39926,66.4,-,LEIA01,112,6122,5915,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/705/GCF_001035705.1_ASM103570v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/705/GCA_001035705.1_ASM103570v1
Pseudomonas aeruginosa,Pae_CF67.10c,19537,SAMN03566407 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035715.1 ,6.40169,66.4,-,LEIB01,104,6113,5927,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/715/GCF_001035715.1_ASM103571v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/715/GCA_001035715.1_ASM103571v1
Pseudomonas aeruginosa,Pae_CF67.10d,19537,SAMN03566408 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035725.1 ,6.40328,66.4,-,LEIC01,152,6114,5928,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/725/GCF_001035725.1_ASM103572v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/725/GCA_001035725.1_ASM103572v1
Pseudomonas aeruginosa,Pae_CF67.10e,19537,SAMN03566409 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035765.1 ,6.40304,66.4,-,LEID01,153,6112,5913,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/765/GCF_001035765.1_ASM103576v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/765/GCA_001035765.1_ASM103576v1
Pseudomonas aeruginosa,Pae_CF67.10f,19537,SAMN03566410 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035785.1 ,6.40107,66.4,-,LEIE01,168,6122,5914,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/785/GCF_001035785.1_ASM103578v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/785/GCA_001035785.1_ASM103578v1
Pseudomonas aeruginosa,Pae_CF67.10g,19537,SAMN03566411 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035795.1 ,6.40404,66.4,-,LEIF01,95,6118,5932,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/795/GCF_001035795.1_ASM103579v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/795/GCA_001035795.1_ASM103579v1
Pseudomonas aeruginosa,Pae_CF67.10h,19537,SAMN03566412 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035805.1 ,6.40635,66.4,-,LEIG01,108,6108,5936,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/805/GCF_001035805.1_ASM103580v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/805/GCA_001035805.1_ASM103580v1
Pseudomonas aeruginosa,Pae_CF67.10i,19537,SAMN03566413 ,PRJNA282164,Proteobacteria,Gammaproteobacteria,GCA_001035845.1 ,6.40317,66.4,-,LEIH01,140,6114,5920,6/22/2015,3/17/2017,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/035/845/GCF_001035845.1_ASM103584v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/035/845/GCA_001035845.1_ASM103584v1
